,Unnamed: 0,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Number,vehicle
0,0,32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,90000.0,maruti
1,1,28.0,Female,Master's,Data Analyst,3.0,65000.0,65000.0,alto
2,2,45.0,Male,PhD,Senior Manager,15.0,150000.0,150000.0,
3,3,36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,60000.0,
4,4,52.0,Male,Master's,Director,20.0,200000.0,200000.0,
5,5,29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,55000.0,
6,6,42.0,Female,Master's,Product Manager,12.0,120000.0,120000.0,
7,7,31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,80000.0,
8,8,26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,45000.0,
9,9,38.0,Male,PhD,Senior Scientist,10.0,110000.0,110000.0,
10,10,29.0,Male,Master's,Software Developer,3.0,75000.0,75000.0,
11,11,48.0,Female,Bachelor's,HR Manager,18.0,140000.0,140000.0,
12,12,35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,65000.0,
13,13,40.0,Female,Master's,Project Manager,14.0,130000.0,130000.0,
14,14,27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,40000.0,
15,15,44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,125000.0,
16,16,33.0,Female,Master's,Marketing Manager,7.0,90000.0,90000.0,
17,17,39.0,Male,PhD,Senior Engineer,12.0,115000.0,115000.0,
18,18,25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,35000.0,
19,19,51.0,Male,Bachelor's,Sales Director,22.0,180000.0,180000.0,
20,20,34.0,Female,Master's,Business Analyst,5.0,80000.0,80000.0,
21,21,47.0,Male,Master's,VP of Operations,19.0,190000.0,190000.0,
22,22,30.0,Male,Bachelor's,IT Support,2.0,50000.0,50000.0,
23,23,36.0,Female,Bachelor's,Recruiter,9.0,60000.0,60000.0,
24,24,41.0,Male,Master's,Financial Manager,13.0,140000.0,140000.0,
25,25,28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,45000.0,
26,26,37.0,Female,Master's,Software Manager,11.0,110000.0,110000.0,
27,27,24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,40000.0,
28,28,43.0,Female,PhD,Senior Consultant,15.0,140000.0,140000.0,
29,29,33.0,Male,Master's,Product Designer,6.0,90000.0,90000.0,
30,30,50.0,Male,Bachelor's,CEO,25.0,250000.0,250000.0,
31,31,31.0,Female,Bachelor's,Accountant,4.0,55000.0,55000.0,
32,32,29.0,Male,Master's,Data Scientist,3.0,75000.0,75000.0,
33,33,39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,65000.0,
34,34,46.0,Male,PhD,Senior Manager,20.0,170000.0,170000.0,
35,35,27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,45000.0,
36,36,35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,60000.0,
37,37,42.0,Male,Master's,Project Engineer,14.0,115000.0,115000.0,
38,38,26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,40000.0,
39,39,49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,160000.0,
40,40,34.0,Female,Master's,UX Designer,5.0,80000.0,80000.0,
41,41,48.0,Male,Master's,Operations Director,18.0,190000.0,190000.0,
42,42,30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,60000.0,
43,43,36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,45000.0,
44,44,41.0,Male,Master's,Strategy Consultant,13.0,130000.0,130000.0,
45,45,28.0,Female,Bachelor's,Copywriter,2.0,40000.0,40000.0,
46,46,32.0,Male,Bachelor's,Account Manager,5.0,75000.0,75000.0,
47,47,45.0,Female,Master's,Director of Marketing,16.0,180000.0,180000.0,
48,48,38.0,Male,PhD,Senior Scientist,11.0,120000.0,120000.0,
49,49,25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,35000.0,
50,50,51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,130000.0,
51,51,33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,85000.0,
52,52,40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,60000.0,
53,53,47.0,Male,Master's,VP of Finance,19.0,200000.0,200000.0,
54,54,29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,50000.0,
55,55,36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,95000.0,
56,56,27.0,Female,Master's,UX Researcher,2.0,65000.0,65000.0,
57,57,43.0,Male,PhD,Senior Engineer,17.0,140000.0,140000.0,
58,58,30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,55000.0,
59,59,35.0,Male,Master's,Product Manager,7.0,105000.0,105000.0,
60,60,51.0,Female,Master's,Director of Operations,23.0,170000.0,170000.0,
61,61,29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,50000.0,
62,62,40.0,Female,Bachelor's,HR Manager,12.0,80000.0,80000.0,
63,63,47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,180000.0,
